Product	Product information				One-to-one comparison					Source			Individual analyte levels reported																			Additional information		Supporting fields for one-to-one comparison			DRI	
	Category	Country	Reported packaging type	Sample size (n)	Summarized findings (ng/serving)	Compounds tested	Phthalates (ng/serving)	Phthalate substitutes (ng/serving)	Bisphenols (ng/serving)	Author	Title	Published	Reporting format	Mean DBP (ng/g)	Mean BBP (ng/g)	Mean DEHP (ng/g)	Mean DINP (ng/g)	Mean DIDP (ng/g)	Mean DMP (ng/g)	Mean DEP (ng/g)	Mean DIBP (ng/g)	Mean DNHP (ng/g)	Mean DCHP (ng/g)	Mean DNOP (ng/g)	Mean DIDA (ng/g)	Mean DEHA (ng/g)	Mean DINCH (ng/g)	Mean DEHT (ng/g)	Mean BPA (ng/g)	Mean BPS (ng/g)	Mean BPF (ng/g)	Serving size (g)	Notes	Phthalates (n)	Phthalate substitutes (n)	Bisphenols (n)	Created	Reviewed
Hake	Seafood	South Africa	Packaged	2	113 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	113	0	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	0.75±1.1	N/A	N/A	0	N/A	N/A	N/A	N/A	0	0	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Hake	Seafood	South Africa	Non-packaged	1	1,415 ng/serving for 4 phthalates 12,195 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	1,415	12,195	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	9.43	N/A	0	0	N/A	N/A	0	N/A	N/A	N/A	N/A	0	81.3	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Mackerel	Seafood	South Africa	Packaged	3	2,435 ng/serving for 4 phthalates 1,488 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	2,435	1,488	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	8.73±10.3	N/A	0	0	N/A	N/A	7.5±13.0	N/A	N/A	N/A	N/A	0	8.44±14.6	1.48±2.57	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Salmon	Seafood	South Africa	Non-packaged	1	0 ng/serving for 4 phthalates 48,900 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	0	48,900	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	0	N/A	N/A	0	N/A	N/A	N/A	N/A	0	326	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Tilapia	Seafood	South Africa	Packaged	2	3,270 ng/serving for 4 phthalates 48 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	3,270	48	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	0.2±0.28	N/A	N/A	21.6±30.5	N/A	N/A	N/A	N/A	0	0.32±0.46	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Tilapia	Seafood	South Africa	Non-packaged	1	713 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	713	0	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	3.49	N/A	0	1.26	N/A	N/A	0	N/A	N/A	N/A	N/A	0	0	0	N/A	0	0	N/A	150		4	3	2	Richel	Yaroslav
Romaine lettuce	Fruits and vegetables	South Africa	Packaged	2	563 ng/serving for 4 phthalates 1,696 ng/serving for 3 phthalate substitutes 51 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	563	1,696	51	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0.46±0.59	0.51±0.66	N/A	N/A	17.8±0.16	N/A	N/A	N/A	N/A	0	53.8±76.1	2.73±3.64	N/A	1.69±1.97	0	N/A	30		4	3	2	Richel	Yaroslav
Spinach	Fruits and vegetables	South Africa	Packaged	1	12 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 339 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	12	0	339	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	0.41	N/A	N/A	0	N/A	N/A	N/A	N/A	0	0	0	N/A	11.3	0	N/A	30		4	3	2	Richel	Yaroslav
Spinach	Fruits and vegetables	South Africa	Non-packaged	2	548 ng/serving for 4 phthalates 45 ng/serving for 3 phthalate substitutes 142 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	548	45	142	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	2.15±0.19	5.51±1.27	N/A	N/A	10.6±15.0	N/A	N/A	N/A	N/A	0	1.49±2.03	0	N/A	4.74±6.28	0	N/A	30		4	3	2	Richel	Yaroslav
Whole wheat bread (outside layer)	Grain	South Africa	Packaged	2	2,889 ng/serving for 4 phthalates 3,790 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	2,889	3,790	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	16.1±2.0	N/A	N/A	80.2±113	N/A	N/A	N/A	N/A	0	3.32±4.62	123±76.3	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Whole wheat bread (core)	Grain	South Africa	Packaged	2	2,497 ng/serving for 4 phthalates 2,223 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	2,497	2,223	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	3.53±2.12	N/A	N/A	79.7±113	N/A	N/A	N/A	N/A	0	0	74.1±4.82	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Whole wheat bread (outside layer)	Grain	South Africa	Non-packaged	1	75 ng/serving for 4 phthalates 723 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	75	723	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	2.5	N/A	N/A	0	N/A	N/A	N/A	N/A	0	0	24.1	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Whole wheat bread (core)	Grain	South Africa	Non-packaged	1	89 ng/serving for 4 phthalates 885 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	89	885	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	2.98	N/A	N/A	0	N/A	N/A	N/A	N/A	0	0	29.5	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
White bread (outside layer)	Grain	South Africa	Packaged	1	1,479 ng/serving for 4 phthalates 9,417 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	1,479	9,417	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	49.3	N/A	N/A	0	N/A	N/A	N/A	N/A	0	243	70.9	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
White bread (core)	Grain	South Africa	Packaged	1	336 ng/serving for 4 phthalates 1,572 ng/serving for 3 phthalate substitutes 0 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	336	1,572	0	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	11.2	N/A	N/A	0	N/A	N/A	N/A	N/A	0	0	52.4	N/A	0	0	N/A	30		4	3	2	Richel	Yaroslav
Canned tuna in oil	Seafood	South Africa	Canned	2	6,520 ng/serving for 4 phthalates 67 ng/serving for 3 phthalate substitutes 1,258 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	6,520	67	1,258	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	0	N/A	0	13.2±0.60	N/A	N/A	63.5±89.8	N/A	N/A	N/A	N/A	0.79±1.01	0	0	N/A	14.8±20.6	0	N/A	85		4	3	2	Richel	Yaroslav
Canned tuna in water	Seafood	South Africa	Canned	2	3,562 ng/serving for 4 phthalates 0 ng/serving for 3 phthalate substitutes 995 ng/serving for 2 bisphenols	Phthalates: DBP, DEHP, DiNP, DEP Phthalate substitutes: DIDA, DEHA, DINCH Bisphenols: BPA, BPS	3,562	0	995	Tian et al.	Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa	2022	mean ± SD	1.16±1.56	N/A	2.14±1.59	10.6±3.05	N/A	N/A	28.0±39.4	N/A	N/A	N/A	N/A	0	0	0	N/A	11.7±2.7	0	N/A	85		4	3	2	Richel	Yaroslav
Brisk iced tea lemon	Beverages	USA	Can	2-3	7,467 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	7,467	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Coca-Cola original	Beverages	USA	Plastic	2-3	6,167 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	6,167	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Lipton diet green tea citrus	Beverages	USA	Plastic	2-3	4,433 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	4,433	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Poland Spring 100% natural spring water	Beverages	USA	Plastic	2-3	4,217 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	4,217	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Juicy Juice 100% juice apple	Beverages	USA	Plastic	2-3	3,348 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	3,348	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Pepsi cola	Beverages	USA	Can	2-3	2,938 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	2,938	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Juicy Juice 100% juice apple	Beverages	USA	Cardboard box	2-3	2,260 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	2,260	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Gatorade frost thirst quencher glacier freeze	Beverages	USA	Plastic	2-3	1,752 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	1,752	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Polar seltzer raspberry lime	Beverages	USA	Can	2-3	0 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	0	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Hormel chili with beans	Canned beans	USA	Can	2-3	9,847 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	9,847	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Bush's chili red beans mild chili sauce	Canned beans	USA	Can	2-3	6,405 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	6,405	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Great Value (Walmart) baked beans original	Canned beans	USA	Can	2-3	6,184 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	6,184	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Bush's baked beans original	Canned beans	USA	Can	2-3	3,709 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	3,709	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Mrs. Butterworth's syrup original	Condiments	USA	Plastic	2-3	1,010 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	1,010	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Hunt's tomato ketchup	Condiments	USA	Plastic	2-3	574 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	574	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Sweet Baby Ray's barbecue sauce original	Condiments	USA	Plastic	2-3	22 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	22	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Fairlife core power high protein milk shake chocolate	Dairy	USA	Plastic	2-3	20,452 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	20,452	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
SlimFast high protein meal replacement shake creamy chocolate	Dairy	USA	Plastic	2-3	16,916 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	16,916	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Yoplait original low fat yogurt french vanilla	Dairy	USA	Plastic	2-3	10,948 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	10,948	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Tuscan Dairy Farms whole milk	Dairy	USA	Plastic	2-3	10,932 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	10,932	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Ben & Jerry's ice cream vanilla	Dairy	USA	Paperboard carton	2-3	6,387 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	6,387	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Wholesome Pantry (Shoprite) organic whole milk	Dairy	USA	Carton	2-3	4,620 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	4,620	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Great Value (Walmart) ice cream homestyle vanilla	Dairy	USA	Paperboard	2-3	3,068 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	3,068	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Jell-O pudding snacks original chocolate	Dairy	USA	Plastic	2-3	1,756 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	1,756	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Sargento sliced natural cheddar cheese sharp	Dairy	USA	Plastic	2-3	1,481 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	1,481	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Land O'Lakes butter salted	Dairy	USA	Paper wrap/cardboard	2-3	581 ng/serving for 10 phthalates	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP	581	0	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food	2024	sum																					10	0	0	Yaroslav	Richel
Wendy's crispy chicken nuggets	Fast food	USA	Paperboard	2-3	33,980 ng/serving for 10 phthalates 133,330 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	33,980	133,330	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Moe's Southwest Grill chicken burrito	Fast food	USA	Aluminum foil	2-3	24,330 ng/serving for 10 phthalates 7,813,659 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	24,330	7,813,659	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Chipotle chicken burrito	Fast food	USA	Aluminum foil	2-3	20,579 ng/serving for 10 phthalates 109,817 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	20,579	109,817	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Burger King Whopper with cheese	Fast food	USA	Paper	2-3	20,167 ng/serving for 10 phthalates 1,546,529 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	20,167	1,546,529	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Burger King chicken nuggets	Fast food	USA	Paper bag	2-3	19,782 ng/serving for 10 phthalates 130,821 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	19,782	130,821	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Wendy's Dave's Single with cheese	Fast food	USA	Aluminum foil/paper wrap	2-3	19,520 ng/serving for 10 phthalates 2,973,073 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	19,520	2,973,073	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
McDonald's Quarter Pounder with cheese	Fast food	USA	Cardboard	2-3	9,956 ng/serving for 10 phthalates 13,869 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	9,956	13,869	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Wendy's natural-cut french fries	Fast food	USA	Paperboard	2-3	8,876 ng/serving for 10 phthalates 107,002 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	8,876	107,002	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Burger King classic french fries	Fast food	USA	Paperboard	2-3	8,512 ng/serving for 10 phthalates 166,224 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	8,512	166,224	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
McDonald's chicken McNuggets	Fast food	USA	Cardboard	2-3	8,030 ng/serving for 10 phthalates 387,801 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	8,030	387,801	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Little Caesars classic cheese pizza	Fast food	USA	Cardboard box	2-3	5,703 ng/serving for 10 phthalates 581,510 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	5,703	581,510	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
McDonald's french fries	Fast food	USA	Paperboard	2-3	5,538 ng/serving for 10 phthalates 1,270,534 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	5,538	1,270,534	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
McDonald's Quarter Pounder hamburger patty	Fast food	USA	Varied	2-3	5,428 ng/serving for 10 phthalates 6,931 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	5,428	6,931	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Taco Bell chicken burrito	Fast food	USA	Paper wrap	2-3	4,720 ng/serving for 10 phthalates 359,688 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	4,720	359,688	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
Domino's hand tossed cheese pizza	Fast food	USA	Cardboard box	2-3	4,356 ng/serving for 10 phthalates 4,152 ng/serving for 3 phthalate substitutes	Phthalates: DBP, BBP, DEHP, DINP, DMP, DEP, DIBP, DNHP, DCHP, DNOP Phthalate substitutes: DEHA, DINCH, DEHT	4,356	4,152	0	Consumer Reports	The Plastic Chemicals Hiding in Your Food Fast Food Companies Are Replacing One Toxic Chemical With Another	2024	sum																					10	3	0	Yaroslav	Richel
